Value,First Name,Last Name,Age,Team,Position,GS,W,SV%,GAA,SO,G,A,PPP,+/-,SOG,HITS
46.02,Carl,Hagelin,30,Pittsburgh Penguins,L,"","","","","",13,21,3,8,158,112
45.86,Jaroslav,Halak,33,Boston Bruins,G,24,13,0.9124,2.5036,2,"","","","","",""
45.84,Jake,Gardiner,28,Toronto Maple Leafs,D,"","","","","",7,38,13,-1,128,66
45.68,Radko,Gudas,28,Philadelphia Flyers,D,"","","","","",4,20,1,5,144,201
45.64,Ryan,McDonagh,29,Tampa Bay Lightning,D,"","","","","",5,28,9,5,140,91
45.49,Clayton,Keller,20,Arizona Coyotes,C,"","","","","",24,44,17,-8,221,11
45.42,Pat,Maroon,30,St. Louis Blues,L,"","","","","",16,23,10,-1,153,155
45.37,Erik,Gustafsson,26,Chicago Blackhawks,D,"","","","","",7,25,7,5,160,71
45.35,Mike,Hoffman,29,Florida Panthers,L,"","","","","",24,32,19,-8,236,31
45.31,Sami,Vatanen,27,New Jersey Devils,D,"","","","","",6,29,13,-3,161,105
45.29,Joonas,Donskoi,26,San Jose Sharks,R,"","","","","",19,24,10,6,151,45
45.2,Casey,DeSmith,27,Pittsburgh Penguins,G,25,13,0.9252,2.3362,1,"","","","","",""
45.13,Jaccob,Slavin,24,Carolina Hurricanes,D,"","","","","",9,28,7,3,158,52
45.12,Darnell,Nurse,23,Edmonton Oilers,D,"","","","","",8,20,3,-2,190,156
44.86,Travis,Konecny,21,Philadelphia Flyers,C,"","","","","",21,27,9,-2,184,94
44.8,Alex,Killorn,29,Tampa Bay Lightning,L,"","","","","",17,23,11,3,156,84
44.58,Petr,Mrazek,26,Carolina Hurricanes,G,33,16,0.9074,2.5635,1,"","","","","",""
44.52,Alexander,Steen,34,St. Louis Blues,L,"","","","","",16,32,16,0,158,59
44.29,Thomas,Chabot,21,Ottawa Senators,D,"","","","","",10,28,8,0,150,65
44.25,Jimmy,Howard,34,Detroit Red Wings,G,48,16,0.9091,2.8198,1,"","","","","",""
44.14,Brandon,Tanev,27,Winnipeg Jets,L,"","","","","",8,12,0,7,109,233
43.96,Danton,Heinen,23,Boston Bruins,C,"","","","","",15,31,10,5,145,48
43.78,Philipp,Grubauer,27,Colorado Avalanche,G,29,15,0.9236,2.5104,1,"","","","","",""
43.68,Ryan,Hartman,24,Nashville Predators,R,"","","","","",15,21,5,5,149,110
43.42,Nino,Niederreiter,26,Minnesota Wild,R,"","","","","",20,23,9,0,172,87
43.38,Nazem,Kadri,28,Toronto Maple Leafs,C,"","","","","",24,30,18,-12,217,92
43.37,Olli,Maatta,24,Pittsburgh Penguins,D,"","","","","",8,19,6,2,149,121
43.29,Sam,Reinhart,23,Buffalo Sabres,C,"","","","","",22,33,20,-7,188,43
43.28,Derek,Stepan,28,Arizona Coyotes,C,"","","","","",17,34,15,-4,206,47
43.25,Joel,Edmundson,25,St. Louis Blues,D,"","","","","",7,15,2,7,137,141
43.07,Kevin,Fiala,22,Nashville Predators,L,"","","","","",22,26,11,-1,195,40
42.91,Blake,Coleman,27,New Jersey Devils,C,"","","","","",13,12,1,3,144,203
42.85,Kevin,Shattenkirk,29,New York Rangers,D,"","","","","",9,29,16,-9,173,73
42.83,Adam,Larsson,26,Edmonton Oilers,D,"","","","","",4,14,1,3,110,262
42.8,Bo,Horvat,23,Vancouver Canucks,C,"","","","","",26,28,17,-8,199,53
42.72,Erik,Haula,27,Vegas Golden Knights,L,"","","","","",22,22,11,-2,175,82
42.5,Brandon,Montour,24,Anaheim Ducks,D,"","","","","",8,23,8,-2,168,102
42.49,Mats,Zuccarello,31,New York Rangers,R,"","","","","",16,36,16,-4,168,65
42.39,Charlie,Coyle,26,Minnesota Wild,C,"","","","","",16,27,8,2,144,92
42.07,Charles,Hudon,24,Montreal Canadiens,L,"","","","","",14,24,9,-3,184,135
42.06,Damon,Severson,24,New Jersey Devils,D,"","","","","",8,27,7,-1,138,107
41.78,Noah,Juulsen,21,Montreal Canadiens,D,"","","","","",3,12,1,8,127,202
41.75,Esa,Lindell,24,Dallas Stars,D,"","","","","",7,22,6,3,141,102
41.73,Alexander,Edler,32,Vancouver Canucks,D,"","","","","",5,25,11,-8,178,157
41.71,Tyler,Myers,28,Winnipeg Jets,D,"","","","","",7,25,9,1,156,70
41.54,Joe,Thornton,39,San Jose Sharks,C,"","","","","",13,33,18,3,100,46
41.5,Justin,Schultz,28,Pittsburgh Penguins,D,"","","","","",6,29,12,2,134,51
41.32,Phillip,Danault,25,Montreal Canadiens,C,"","","","","",15,24,6,4,142,88
41.19,Michael,Frolik,30,Calgary Flames,R,"","","","","",18,19,4,5,170,62
41.13,Brandon,Saad,26,Chicago Blackhawks,L,"","","","","",20,24,7,0,214,36
40.96,Artturi,Lehkonen,23,Montreal Canadiens,L,"","","","","",18,19,5,1,194,83
40.93,Sam,Bennett,22,Calgary Flames,C,"","","","","",17,19,6,0,150,134
40.79,Zach,Hyman,26,Toronto Maple Leafs,C,"","","","","",14,25,4,2,148,117
40.77,Tom,Wilson,24,Washington Capitals,R,"","","","","",11,18,4,0,118,214
40.55,Bryan,Rust,26,Pittsburgh Penguins,R,"","","","","",14,25,7,1,145,112
40.49,Brent,Seabrook,33,Chicago Blackhawks,D,"","","","","",6,27,10,0,132,91
40.45,Richard,Panik,27,Arizona Coyotes,R,"","","","","",14,21,8,-1,156,136
40.36,Cam,Fowler,27,Anaheim Ducks,D,"","","","","",8,28,10,0,157,32
40.28,Oliver,Bjorkstrand,23,Columbus Blue Jackets,R,"","","","","",15,28,9,1,164,63
40.27,Alex,Tuch,22,Vegas Golden Knights,R,"","","","","",15,24,9,0,165,90
40.17,Brett,Pesce,24,Carolina Hurricanes,D,"","","","","",9,19,4,6,125,75
40.15,Alex,Galchenyuk,24,Arizona Coyotes,C,"","","","","",21,31,17,-6,184,35
40.04,Jakub,Vrana,22,Washington Capitals,L,"","","","","",16,18,5,7,160,45
40.03,Adam,Henrique,28,Anaheim Ducks,C,"","","","","",20,23,11,0,149,62
39.83,Duncan,Keith,35,Chicago Blackhawks,D,"","","","","",3,34,9,2,163,43
39.48,Colton,Sissons,25,Nashville Predators,C,"","","","","",11,15,3,8,105,130
39.47,Matt,Duchene,27,Ottawa Senators,C,"","","","","",22,36,14,-9,191,52
39.34,Kevin,Hayes,26,New York Rangers,C,"","","","","",19,24,8,0,176,52
39.29,Marc-Edouard,Vlasic,31,San Jose Sharks,D,"","","","","",8,24,5,4,157,36
39.22,Matt,Niskanen,32,Washington Capitals,D,"","","","","",6,25,5,-2,143,138
39.22,Nick,Schmaltz,22,Chicago Blackhawks,C,"","","","","",17,36,12,0,142,23
39.17,Tanner,Pearson,26,Los Angeles Kings,L,"","","","","",18,23,7,-3,168,111
38.83,Nick,Ritchie,23,Anaheim Ducks,L,"","","","","",11,16,4,0,128,194
38.72,Josh,Bailey,29,New York Islanders,R,"","","","","",17,40,23,-8,161,21
38.67,Vince,Dunn,22,St. Louis Blues,D,"","","","","",8,23,9,0,163,42
38.54,Paul,Byron,29,Montreal Canadiens,L,"","","","","",18,18,2,2,120,133
38.46,James,Reimer,30,Florida Panthers,G,32,14,0.9154,2.7006,1,"","","","","",""
38.41,Paul,Stastny,33,Vegas Golden Knights,C,"","","","","",15,30,10,2,137,42
38.4,Patrik,Berglund,30,Buffalo Sabres,C,"","","","","",18,12,5,0,143,142
38.21,Jack,Campbell,26,Los Angeles Kings,G,26,11,0.9121,2.5148,1,"","","","","",""
38.2,Brayden,McNabb,27,Vegas Golden Knights,D,"","","","","",5,11,0,5,98,219
37.97,Kevan,Miller,31,Boston Bruins,D,"","","","","",2,14,0,13,75,178
37.8,Andrew,Cogliano,31,Anaheim Ducks,L,"","","","","",14,21,3,4,156,77
37.68,Robert,Hagg,23,Philadelphia Flyers,D,"","","","","",4,11,0,0,122,257
37.39,Vladislav,Namestnikov,26,New York Rangers,C,"","","","","",18,24,10,-2,150,75
37.36,Ryan,Spooner,26,New York Rangers,C,"","","","","",15,29,13,-4,161,72
37.36,Dylan,DeMelo,25,Ottawa Senators,D,"","","","","",4,22,4,9,96,98
37.21,Ondrej,Kase,23,Anaheim Ducks,R,"","","","","",18,22,7,2,160,40
37.12,Radek,Faksa,24,Dallas Stars,C,"","","","","",16,20,4,2,135,99
36.81,Kasperi,Kapanen,22,Toronto Maple Leafs,R,"","","","","",16,13,1,4,137,114
36.8,Patrick,Marleau,39,Toronto Maple Leafs,C,"","","","","",18,19,9,-2,170,77
36.79,Anthony,Mantha,24,Detroit Red Wings,R,"","","","","",21,27,12,-10,197,86
36.77,Gustav,Nyquist,29,Detroit Red Wings,R,"","","","","",19,29,12,-7,188,61
