Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
25.27,Nick,Bonino,30,Nashville Predators,C,10,17,2,5,106,32
25.12,Curtis,Lazar,23,Calgary Flames,C,8,14,1,1,76,137
25.08,Tomas,Plekanec,36,Montreal Canadiens,C,11,18,3,0,124,61
24.84,Maxim,Mamin,23,Florida Panthers,C,9,7,0,1,93,146
24.81,Cody,Eakin,27,Vegas Golden Knights,C,14,17,2,-1,111,73
24.78,Vladimir,Sobotka,31,Buffalo Sabres,C,10,17,2,-3,118,117
23.86,Ivan,Barbashev,23,St. Louis Blues,C,10,15,0,1,83,108
23.73,Lars,Eller,29,Washington Capitals,C,16,19,5,-8,150,78
23.47,Brandon,Sutter,29,Vancouver Canucks,C,15,15,2,-4,143,71
23.2,Noel,Acciari,27,Boston Bruins,C,7,6,0,-3,96,194
23.11,Joakim,Nordstrom,26,Boston Bruins,C,11,9,0,0,99,116
22.87,Reid,Boucher,25,Vancouver Canucks,C,12,12,4,-1,134,54
22.82,Tage,Thompson,21,Buffalo Sabres,C,9,15,3,-1,112,86
22.64,Colin,Wilson,29,Colorado Avalanche,C,12,16,7,-3,114,61
22.01,Scott,Wilson,26,Buffalo Sabres,C,9,11,0,-2,105,130
21.69,Luke,Glendening,29,Detroit Red Wings,C,9,11,0,-3,94,149
21.65,Ryan,Carpenter,27,Vegas Golden Knights,C,11,10,0,-4,130,121
21.54,Frans,Nielsen,34,Detroit Red Wings,C,13,22,9,-8,133,55
21.5,Jordan,Weal,26,Philadelphia Flyers,C,12,15,3,1,111,30
21.43,Colin,White,21,Ottawa Senators,C,12,12,3,0,108,56
20.52,David,Kampf,23,Chicago Blackhawks,C,10,15,1,1,96,58
20.5,Dylan,Strome,21,Arizona Coyotes,C,13,15,6,-4,137,36
20.47,Brendan,Gaunce,24,Vancouver Canucks,C,9,8,0,0,102,104
20.16,Valtteri,Filppula,34,New York Islanders,C,11,21,2,1,80,33
19.61,Filip,Chlapik,21,Ottawa Senators,C,8,13,3,0,88,77
19.58,Marcus,Kruger,28,Chicago Blackhawks,C,9,9,0,3,64,87
19.08,Lukas,Sedlak,25,Columbus Blue Jackets,C,8,7,0,1,78,109
18.63,Cory,Conacher,29,Tampa Bay Lightning,C,10,10,1,0,102,66
18.56,Marko,Dano,24,Colorado Avalanche,C,8,10,0,0,87,97
18.43,Boo,Nieves,24,New York Rangers,C,6,14,3,1,67,80
18.41,Oscar,Lindberg,27,Vegas Golden Knights,C,10,9,0,-2,104,97
18.31,Mattias,Janmark,26,Dallas Stars,C,16,17,4,-6,138,24
18.21,Gabriel,Dumont,28,Tampa Bay Lightning,C,5,3,0,0,75,150
18.05,Riley,Sheahan,27,Pittsburgh Penguins,C,12,16,3,-5,115,64
17.95,Andy,Andreoff,27,Tampa Bay Lightning,C,7,6,0,0,73,125
17.72,Tanner,Fritz,27,New York Islanders,C,5,9,0,0,67,129
17.13,Matt,Hendricks,37,Minnesota Wild,C,3,4,0,1,54,154
17.12,Nic,Dowd,28,Washington Capitals,C,8,9,0,-2,73,124
16.95,Oskar,Sundqvist,24,St. Louis Blues,C,7,10,0,1,71,89
16.74,Jason,Dickinson,23,Dallas Stars,C,8,8,0,-1,60,123
16.42,Kyle,Brodziak,34,Edmonton Oilers,C,8,10,0,0,79,83
15.75,Melker,Karlsson,28,San Jose Sharks,C,9,10,0,-3,97,92
15.73,Gemel,Smith,24,Dallas Stars,C,9,11,0,0,86,60
15.2,Tyler,Ennis,29,Toronto Maple Leafs,C,8,15,2,-5,122,65
14.79,Brian,Gibbons,30,Anaheim Ducks,C,9,13,0,-2,101,55
14.53,Derek,MacKenzie,37,Florida Panthers,C,3,5,0,0,60,132
14.47,Byron,Froese,27,Montreal Canadiens,C,6,8,0,0,77,86
14.45,Alan,Quine,25,Calgary Flames,C,8,8,0,-2,67,107
14.3,Derek,Grant,28,Pittsburgh Penguins,C,7,11,1,-2,88,76
14.0,Michael,Amadio,22,Los Angeles Kings,C,9,11,2,-1,81,48
13.65,Brad,Richardson,33,Arizona Coyotes,C,8,10,0,-3,99,76
13.65,Jori,Lehtera,31,Philadelphia Flyers,C,7,11,0,0,61,74
12.92,Mark,Letestu,33,Columbus Blue Jackets,C,9,12,4,-5,90,64
12.73,Micheal,Haley,32,Florida Panthers,C,3,5,0,0,42,130
11.47,Jay,Beagle,33,Vancouver Canucks,C,6,9,0,-1,67,74
11.13,Jordan,Nolan,29,St. Louis Blues,C,5,5,0,-3,55,128
11.08,Seth,Griffith,25,Winnipeg Jets,C,5,10,1,0,66,55
10.56,Johan,Larsson,26,Buffalo Sabres,C,8,11,0,-7,83,106
10.18,Jordan,Schroeder,28,Chicago Blackhawks,C,7,5,0,0,67,58
10.15,Peter,Holland,27,New York Rangers,C,9,11,1,-6,105,58
9.99,Greg,McKegg,26,Carolina Hurricanes,C,6,4,0,0,65,68
9.47,Danny,O'Regan,24,Buffalo Sabres,C,7,8,2,0,63,31
8.46,Nate,Thompson,34,Los Angeles Kings,C,3,5,0,-5,51,143
8.43,Dominic,Toninato,24,Colorado Avalanche,C,6,6,0,0,49,59
8.31,Paul,Carey,30,Ottawa Senators,C,5,5,0,-3,68,89
6.17,Frederick,Gaudreau,25,Nashville Predators,C,6,7,0,-1,53,42
5.87,Chandler,Stephenson,24,Washington Capitals,C,6,12,0,-4,66,46
0.0,Matt,Cullen,42,Pittsburgh Penguins,C,6,4,0,-6,78,34
