First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Kyle,Palmieri,27,R,1,8475151,27,27,21,-2,226,112
Ryan,O'Reilly,27,C,1,8475158,24,42,22,-4,218,37
Kyle,Clifford,27,L,1,8475160,11,11,1,1,123,187
Alex,Chiasson,28,R,1,8475163,9,9,1,-3,94,85
Jakob,Silfverberg,28,R,1,8475164,21,25,10,2,197,59
John,Tavares,28,C,1,8475166,32,45,26,-8,259,29
Victor,Hedman,28,D,0,8475167,16,48,24,3,219,118
Matt,Duchene,27,C,1,8475168,24,32,14,-10,194,55
Evander,Kane,27,L,1,8475169,29,28,13,-4,303,150
Brayden,Schenn,27,C,1,8475170,25,40,22,3,205,141
Oliver,Ekman-Larsson,27,D,0,8475171,12,32,16,-8,203,141
Nazem,Kadri,28,C,1,8475172,27,30,17,-6,226,96
Magnus,Paajarvi,27,L,1,8475175,12,9,0,-1,125,105
Ryan,Ellis,27,D,0,8475176,14,29,13,6,197,57
Calvin,de Haan,27,D,0,8475177,5,17,4,1,118,117
Zack,Kassian,27,R,1,8475178,9,15,2,-4,99,148
Dmitry,Kulikov,28,D,0,8475179,2,13,2,1,83,102
Peter,Holland,27,C,1,8475180,10,13,2,-7,117,65
Nick,Leddy,27,D,0,8475181,9,34,14,-11,157,90
Chris,Kreider,27,L,1,8475184,22,25,14,1,189,134
John,Moore,28,D,0,8475186,6,14,2,-3,138,126
Brayden,McNabb,27,D,0,8475188,6,13,1,7,101,218
Reilly,Smith,27,R,1,8475191,23,34,17,3,194,55
Tomas,Tatar,28,L,1,8475193,21,20,10,-3,166,70
Tyson,Barrie,27,D,0,8475197,13,41,24,-11,215,46
Dmitry,Orlov,27,D,0,8475200,9,23,6,3,131,121
Brian,Dumoulin,27,D,0,8475208,6,18,3,7,110,106
Richard,Panik,27,R,1,8475209,16,22,8,2,151,142
Mattias,Ekholm,28,D,0,8475218,10,26,10,5,138,77
Marcus,Foligno,27,L,1,8475220,10,14,2,0,92,191
Sami,Vatanen,27,D,0,8475222,7,29,13,-4,161,99
Craig,Smith,29,R,1,8475225,24,25,12,4,209,69
Casey,Cizikas,27,C,1,8475231,9,15,1,-4,98,156
David,Savard,28,D,0,8475233,6,17,2,2,144,140
Nicolas,Deslauriers,27,L,1,8475235,9,8,0,-1,102,286
Cody,Eakin,27,C,1,8475236,13,18,3,-4,116,75
Kevin,Connauton,28,D,0,8475246,5,12,1,-6,127,128
Gabriel,Dumont,28,C,1,8475254,6,4,0,0,83,165
Gabriel,Bourque,28,L,1,8475268,5,7,0,-3,70,169
Byron,Froese,27,C,1,8475278,7,9,0,1,85,95
Ben,Chiarot,27,D,0,8475279,3,14,2,3,90,143
Erik,Haula,27,L,1,8475287,24,25,13,0,178,82
Anders,Lee,28,L,1,8475314,29,26,17,-8,208,106
Marcus,Kruger,28,C,1,8475323,8,11,0,1,62,91
Nick,Jensen,28,D,0,8475324,3,16,2,-1,105,81
Jordan,Nolan,29,C,1,8475325,6,6,0,-4,61,140
Nic,Dowd,28,C,1,8475343,8,10,0,-3,73,125
Darren,Archibald,28,R,1,8475423,8,12,1,-1,93,220
Brandon,Manning,28,D,0,8475430,6,15,2,-2,132,139
Brenden,Dillon,28,D,0,8475455,5,15,2,2,99,183
Radko,Gudas,28,D,0,8475462,5,17,2,2,155,208
Nate,Prosser,32,D,0,8475613,0,5,0,1,47,89
Matt,Irwin,31,D,0,8475625,2,9,0,1,99,127
Christopher,Tanev,29,D,0,8475690,3,13,1,-1,69,50
Mats,Zuccarello,31,R,1,8475692,18,34,15,-1,170,64
Calle,Jarnkrok,27,C,1,8475714,17,19,6,0,137,50
