Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
149,Jacob,De La Rose,MTL,C/LW,-88,62,8,9,-10,55,0,136
150,Jason,Dickinson,DAL,C/LW,-88,71,10,13,0,50,0,99
151,Adam,Erne,TBL,LW,-88,64,7,7,0,89,0,103
152,Marian,Gaborik,OTT,LW/RW,-89,52,9,12,-10,115,5,19
153,Phillip,Di Giuseppe,CAR,LW,-90,50,5,6,0,79,0,116
154,Lawson,Crouse,ARI,LW,-92,48,5,11,0,56,0,109
155,Matthew,Nieto,COL,LW,-92,70,11,12,10,91,0,35
156,Gabriel,Bourque,COL,LW/RW,-92,62,5,8,0,54,0,121
157,Dale,Weise,PHI,LW/RW,-93,55,6,5,0,83,0,103
158,Tyler,Ennis,TOR,LW/RW,-93,62,8,11,0,110,0,43
159,Miikka,Salomaki,NSH,LW/RW,-93,51,5,9,0,47,0,120
160,Tyler,Motte,VAN,LW/RW,-94,58,6,8,0,81,0,88
161,Tom,Pyatt,OTT,LW/RW,-94,79,8,14,-10,96,0,50
162,Tomas,Nosek,VGK,LW/RW,-94,64,8,12,0,87,0,53
163,William,Carrier,VGK,LW/RW,-94,45,2,6,0,59,0,130
164,Oscar,Lindberg,VGK,LW/RW,-96,61,7,8,0,87,0,70
165,Laurent,Dauphin,ARI,C/LW,-97,60,5,12,0,73,0,68
166,Tom,Kuhnhackl,NYI,LW,-97,62,3,6,0,60,0,113
167,Markus,Granlund,VAN,C/LW,-97,61,10,8,0,98,0,40
168,Marcus,Sorensen,SJS,LW/RW,-99,61,10,11,0,63,0,49
169,Matthew,Highmore,CHI,LW/RW,-99,45,8,10,0,94,0,34
170,Jordan,Nolan,STL,C/LW,-103,56,3,6,0,47,0,100
171,Chandler,Stephenson,WSH,LW,-103,74,6,17,10,38,0,32
172,Gemel,Smith,DAL,C/LW,-104,65,9,10,0,63,0,40
173,Justin,Bailey,BUF,LW/RW,-104,33,2,8,-10,49,0,100
174,Nate,Thompson,LAK,C/LW,-108,53,2,7,0,40,0,84
175,Andy,Andreoff,TBL,LW,-110,46,3,6,0,43,0,75
176,Jori,Lehtera,PHI,C/LW,-111,63,5,8,-10,60,0,49
177,Cody,McLeod,NYR,LW,-113,37,1,2,0,27,0,102
178,Brian,Gibbons,ANA,LW/RW,-113,46,6,8,0,56,0,27
179,Marko,Dano,WPG,LW/RW,-113,35,4,4,0,44,0,63
180,Anders,Bjork,BOS,LW,-114,34,6,12,0,34,0,24
181,Taylor,Leier,PHI,LW,-116,57,4,8,0,60,0,19
182,Zac,Rinaldo,NSH,LW/RW,-119,25,1,2,0,21,0,82
183,Andrew,Mangiapane,CGY,LW,-119,40,6,7,0,28,0,32
184,Ross,Johnston,NYI,LW,-120,29,3,4,0,22,0,61
185,Rudolfs,Balcers,SJS,LW,-120,23,5,6,0,42,0,23
186,Hunter,Shinkaruk,MTL,C/LW,-121,35,5,4,0,42,0,28
187,Kevin,Roy,ANA,LW/RW,-122,35,6,6,0,36,0,15
188,Curtis,Mckenzie,VGK,LW,-123,23,3,4,0,29,0,42
189,Lukas,Radil,SJS,LW,-124,25,4,5,0,33,0,25
190,Brendan,Gaunce,VAN,C/LW,-124,26,3,2,0,32,0,40
191,Micheal,Haley,FLA,LW,-125,30,0,5,-10,21,0,59
192,Josh,Leivo,TOR,LW/RW,-128,19,3,6,0,34,0,6
193,Max,McCormick,OTT,LW,-128,18,1,3,0,24,0,36
194,Paul,Carey,OTT,LW/RW,-128,25,2,4,0,23,0,28
195,A.J.,Greer,COL,LW/RW,-129,20,2,4,0,17,0,31
196,Kalle,Kossila,ANA,C/LW,-130,24,2,5,0,22,0,18
197,Warren,Foegele,CAR,LW,-130,12,3,2,0,36,0,12
198,Shane,Gersich,WSH,C/LW,-131,20,2,4,0,27,0,14
199,Filip,Zadina,DET,LW,-131,9,3,2,0,25,1.5,7
200,Victor,Ejdsell,CHI,C/LW,-131,18,2,2,0,21,1,18
201,John,Quenneville,NJD,C/LW,-133,13,0,3,0,24,0,18
202,Sammy,Blais,STL,LW,-134,14,1,4,0,11,0,17
203,Andreas,Martinsen,CHI,LW/RW,-136,10,1,0,0,11,0,29
204,Matt,Read,MIN,LW/RW,-137,12,1,1,0,17,0,15
205,Nicolas,Kerdiles,WPG,LW,-138,14,1,2,0,0,0,21
206,Henrik,Haapala,FLA,LW/RW,-139,10,0,3,0,6,0,10
