Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
147,Joel,Armia,MTL,RW,-49,74,12,24,-10,121,9,89
148,Connor,Brown,TOR,RW,-50,82,19,23,0,129,11,25
149,Vladislav,Namestnikov,NYR,C/LW,-50,78,12,25,-10,124,9,76
150,Marcus,Johansson,NJD,LW,-51,74,21,23,-10,121,11,32
151,Trevor,Lewis,LAK,RW,-51,75,13,14,0,149,0,155
152,Joel,Eriksson Ek,MIN,C/LW,-51,79,14,22,0,122,0,137
153,Andrew,Shaw,MTL,C/RW,-51,66,12,17,-10,125,7,125
154,Jason,Pominville,BUF,RW,-51,77,14,21,-10,173,9,38
155,Ryan,Hartman,NSH,C/RW,-52,76,13,22,0,147,0,116
156,Oskar,Lindblom,PHI,LW,-52,78,15,16,0,124,8,91
157,Devin,Shore,DAL,LW/RW,-52,82,13,23,-10,117,9,78
158,Valentin,Zykov,CAR,LW/RW,-52,71,17,22,0,124,10,38
159,Mathieu,Perreault,WPG,LW,-52,69,15,22,10,136,0,100
160,Andrew,Ladd,NYI,LW,-53,73,13,16,10,139,7,76
161,Jimmy,Vesey,NYR,LW,-54,79,18,14,-10,125,8,92
162,Matt,Martin,NYI,LW,-54,70,8,7,0,65,0,268
163,John,Hayden,CHI,RW,-54,71,10,15,0,94,0,197
164,Cal,Clutterbuck,NYI,RW,-54,73,8,11,-10,99,0,232
165,Colton,Sissons,NSH,C/LW,-54,76,11,19,0,82,8,121
166,Andrew,Cogliano,ANA,LW,-55,82,14,23,0,163,0,79
167,Brady,Tkachuk,OTT,LW,-55,76,11,20,0,92,9.3,95
168,Tyson,Jost,COL,C/LW,-55,70,15,19,0,120,12,36
169,Sam,Bennett,CGY,LW,-56,81,12,20,-10,140,0,127
170,Brock,McGinn,CAR,LW/RW,-56,77,15,16,0,126,0,132
171,Brett,Ritchie,DAL,RW,-56,73,10,11,0,139,0,165
172,J.T.,Compher,COL,C/RW,-57,73,17,20,-10,131,9,45
173,Jakub,Vrana,WSH,LW/RW,-57,74,16,21,0,130,9,29
174,Carl,Hagelin,PIT,LW,-58,75,10,19,10,160,0,89
